Company,Product,TypeName,Inches,ScreenResolution,Ram,OpSys,Cpu Brand,Cpu Model,Cpu Rate,SSD,HDD,Flash Storage,Hybrid,Gpu Brand,Gpu Model,,Price_euros
MSI,GT80S 6QF-074US,Gaming,18.4,Full HD 1920x1080,32GB,Windows 10,Intel,Core i7 6920HQ,2.9GHz,512,1,0,0,Nvidia,GTX 980 SLI,,2799
Lenovo,V310-15IKB (i5-7200U/8GB/1TB,Notebook,15.6,Full HD 1920x1080,8GB,Windows 10,Intel,Core i5 7200U,2.5GHz,128,1,0,0,AMD,R 1 7 M - M 1 - 7 0,,813
HP,Spectre x360,2 in 1 Convertible,13.3,IPS Panel 4K Ultra HD / Touchscreen 3840x2160,8GB,Windows 10,Intel,Core i5 8250U,1.6GHz,256,0,0,0,Intel,UHD Graphics 620,,1499
Dell,Inspiron 5570,Notebook,15.6,Full HD 1920x1080,16GB,Linux,Intel,Core i7 8550U,1.8GHz,256,2,0,0,AMD,Radeon 530,,1049
Dell,XPS 13,Ultrabook,13.3,Full HD 1920x1080,8GB,Windows 10,Intel,Core i5 8250U,1.6GHz,256,0,0,0,Intel,UHD Graphics 620,,1399
Lenovo,Yoga 920-13IKB,2 in 1 Convertible,13.9,IPS Panel 4K Ultra HD / Touchscreen 3840x2160,16GB,Windows 10,Intel,Core i7 8550U,1.8GHz,512,0,0,0,Intel,UHD Graphics 620,,1849
Toshiba,Satellite Pro,Notebook,15.6,1366x768,8GB,Windows 10,Intel,Core i5 7200U,2.5GHz,128,0,0,0,Intel,HD Graphics 620,,793
Xiaomi,Mi Notebook,Notebook,15.6,IPS Panel Full HD 1920x1080,8GB,No OS,Intel,Core i5 8250U,1.6GHz,256,0,0,0,Nvidia,GeForce MX150,,1199
Dell,Inspiron 7773,Notebook,17.3,Full HD / Touchscreen 1920x1080,16GB,Windows 10,Intel,Core i7 8550U,1.8GHz,512,0,0,0,Nvidia,GeForce 150MX,,1549
Dell,XPS 15,Notebook,15.6,4K Ultra HD / Touchscreen 3840x2160,16GB,Windows 10,Intel,Core i7 7700HQ,2.8GHz,512,0,0,0,Nvidia,GeForce GTX 1050,,2397
Lenovo,Legion Y520-15IKBN,Gaming,15.6,IPS Panel Full HD 1920x1080,8GB,No OS,Intel,Core i5 7300HQ,2.5GHz,256,0,0,0,Nvidia,GeForce GTX 1050,,779
Acer,Swift 7,Ultrabook,13.3,IPS Panel Full HD 1920x1080,8GB,Windows 10,Intel,Core i5 7Y54,1.2GHz,256,0,0,0,Intel,HD Graphics 615,,989
Dell,Inspiron 5770,Notebook,17.3,Full HD 1920x1080,8GB,Windows 10,Intel,Core i7 8550U,1.8GHz,128,1,0,0,AMD,Radeon 530,,1085
Lenovo,Thinkpad Yoga,2 in 1 Convertible,14,Touchscreen 2560x1440,16GB,Windows 10,Intel,Core i7 7500U,2.7GHz,1,0,0,0,Intel,HD Graphics 620,,2824
Xiaomi,Mi Notebook,Ultrabook,13.3,IPS Panel Full HD 1920x1080,8GB,No OS,Intel,Core i5 7200U,2.5GHz,256,0,0,0,Nvidia,GeForce MX150,,999.9
Lenovo,IdeaPad 320-17IKBR,Notebook,17.3,1600x900,8GB,No OS,Intel,Core i5 8250U,1.6GHz,256,0,0,0,Nvidia,GeForce MX150,,698
Dell,Inspiron 5379,2 in 1 Convertible,13.3,IPS Panel Full HD / Touchscreen 1920x1080,8GB,Windows 10,Intel,Core i7 8550U,1.8GHz,0,1,0,0,Intel,UHD Graphics 620,,839
HP,ProBook 470,Notebook,17.3,IPS Panel Full HD 1920x1080,8GB,Windows 10,Intel,Core i5 8250U,1.6GHz,0,1,0,0,Nvidia,GeForce 930MX,,914
Razer,Blade Pro,Gaming,17.3,4K Ultra HD / Touchscreen 3840x2160,32GB,Windows 10,Intel,Core i7 7820HK,2.9GHz,1,0,0,0,Nvidia,GeForce GTX 1080,,6099
HP,ProBook 430,Notebook,13.3,Full HD 1920x1080,8GB,Windows 10,Intel,Core i5 8250U,1.6GHz,512,0,0,0,Intel,UHD Graphics 620,,959
HP,Omen 17-W295,Gaming,17.3,IPS Panel Full HD 1920x1080,16GB,Windows 10,Intel,Core i7 7700HQ,2.8GHz,256,1,0,0,Nvidia,GeForce GTX 1050,,1379
HP,Probook 470,Notebook,17.3,Full HD 1920x1080,8GB,Windows 10,Intel,Core i7 8550U,1.8GHz,256,0,0,0,Nvidia,GeForce 930MX ,,1045
Dell,Inspiron 7577,Gaming,15.6,IPS Panel 4K Ultra HD 3840x2160,16GB,Windows 10,Intel,Core i7 7700HQ,2.8GHz,512,1,0,0,Nvidia,GeForce GTX 1060,,1845
Lenovo,V110-15ISK (i5-6200U/4GB/128GB/W10),Notebook,15.6,1366x768,4GB,Windows 10,Intel,Core i5 6200U,2.3GHz,128,0,0,0,Intel,HD Graphics 520,,493
Acer,Aspire E5-576G,Notebook,15.6,Full HD 1920x1080,8GB,Windows 10,Intel,Core i7 7500U,2.7GHz,0,1,0,0,Nvidia,GeForce 940MX,,742
Lenovo,Legion Y720-15IKB,Gaming,15.6,IPS Panel Full HD 1920x1080,16GB,Windows 10,Intel,Core i7 7700HQ,2.8GHz,512,1,0,0,Nvidia,GeForce GTX 1060,,1749
Dell,Precision 7520,Workstation,15.6,4K Ultra HD 3840x2160,16GB,Windows 10,Intel,Xeon E3-1505M V6,3GHz,256,1,0,0,Nvidia,Quadro M1200,,3055
Lenovo,Legion Y520-15IKBN,Gaming,15.6,Full HD 1920x1080,16GB,No OS,Intel,Core i7 7700HQ,2.8GHz,512,0,0,0,Nvidia,GeForce GTX 1060,,1398
Dell,Inspiron 3567,Notebook,15.6,Touchscreen 1366x768,6GB,Windows 10,Intel,Core i3 7100U,2.4GHz,0,1,0,0,Intel,HD Graphics 620,,439
Dell,XPS 13,Ultrabook,13.3,IPS Panel 4K Ultra HD / Touchscreen 3840x2160,8GB,Windows 10,Intel,Core i7 8550U,1.8GHz,256,0,0,0,Intel,UHD Graphics 620,,1949
Dell,XPS 13,Ultrabook,13.3,Full HD 1920x1080,8GB,Windows 10,Intel,Core i7 8550U,1.8GHz,256,0,0,0,Intel,UHD Graphics 620,,1449
Lenovo,IdeaPad 320-15IKBN,Notebook,15.6,1366x768,8GB,Windows 10,Intel,Core i5 7200U,2.5GHz,256,0,0,0,Intel,HD Graphics 620,,597
Acer,Aspire 7,Notebook,15.6,Full HD 1920x1080,8GB,Linux,Intel,Core i7 7700HQ,2.8GHz,0,1,0,0,Nvidia,GeForce GTX 1050,,779
Asus,ROG GL703VD-GC028T,Gaming,17.3,Full HD 1920x1080,16GB,Windows 10,Intel,Core i7 7700HQ,2.8GHz,256,1,0,0,Nvidia,GeForce GTX 1050,,1407
HP,15-bs018nq (i3-6006U/4GB/500GB/FHD/No,Notebook,15.6,Full HD 1920x1080,4GB,No OS,Intel,Core i3 6006U,2GHz,0,500,0,0,Intel,HD Graphics 520,,349
Lenovo,IdeaPad 320-15IKBN,Notebook,15.6,Full HD 1920x1080,8GB,No OS,Intel,Core i5 7200U,2.5GHz,256,0,0,0,Intel,HD Graphics 620,,549
Huawei,MateBook X,Ultrabook,13,IPS Panel Full HD 2160x1440,8GB,Windows 10,Intel,Core i7 7500U,2.7GHz,512,0,0,0,Intel,HD Graphics 620,,1499
Dell,Inspiron 5370,Ultrabook,13.3,IPS Panel Full HD 1920x1080,8GB,Windows 10,Intel,Core i7 8550U,1.8GHz,256,0,0,0,AMD,Radeon 530,,931.88
Lenovo,IdeaPad 320-17IKB,Notebook,17.3,1600x900,8GB,No OS,Intel,Core i5 7200U,2.5GHz,0,1,0,0,Nvidia,GeForce GTX 940MX,,589
HP,Probook 440,Notebook,14,Full HD 1920x1080,8GB,Windows 10,Intel,Core i7 8550U,1.8GHz,256,0,0,0,Nvidia,GeForce 930MX,,1031
Dell,Latitude 5490,Ultrabook,14,Full HD 1920x1080,8GB,Windows 10,Intel,Core i5 8250U,1.6GHz,256,0,0,0,Intel,UHD Graphics 620,,1149
Dell,Inspiron 5379,2 in 1 Convertible,13.3,Full HD / Touchscreen 1920x1080,16GB,Windows 10,Intel,Core i7 8550U,1.8GHz,512,0,0,0,Intel,UHD Graphics 620,,1279
Dell,Inspiron 3576,Notebook,15.6,Full HD 1920x1080,8GB,Linux,Intel,Core i5 8250U,1.6GHz,256,0,0,0,AMD,Radeon 520,,677.35
Lenovo,Yoga 520-14IKB,2 in 1 Convertible,14,IPS Panel Full HD 1920x1080,8GB,Windows 10,Intel,Core i5 8250U,1.6GHz,256,0,0,0,Intel,UHD Graphics 620,,899
Toshiba,Portege Z30-C-16L,Ultrabook,13.3,Full HD 1920x1080,8GB,Windows 10,Intel,Core i7 6500U,2.5GHz,256,0,0,0,Intel,HD Graphics 520,,1363
HP,ProBook 450,Notebook,15.6,Full HD 1920x1080,8GB,Windows 10,Intel,Core i5 8250U,1.6GHz,0,1,0,0,Intel,UHD Graphics 620,,794
Dell,Alienware 17,Gaming,17.3,IPS Panel Full HD 1920x1080,16GB,Windows 10,Intel,Core i7 7700HQ,2.8GHz,256,1,0,0,Nvidia,GeForce GTX 1060,,2456.34
Acer,Aspire E5-576G,Notebook,15.6,Full HD 1920x1080,8GB,Windows 10,Intel,Core i7 7500U,2.7GHz,256,0,0,0,Nvidia,GeForce 940MX,,832
Dell,Inspiron 5567,Notebook,15.6,Full HD / Touchscreen 1920x1080,16GB,Windows 10,Intel,Core i7 7500U,2.7GHz,0,1,0,0,AMD,Radeon R7 M445,,859.01
Asus,Vivobook X541UV-DM1217T,Notebook,15.6,Full HD 1920x1080,8GB,Windows 10,Intel,Core i5 7200U,2.5GHz,256,0,0,0,Nvidia,GeForce 920MX ,,769
Asus,K756UX-T4340T (i5-7200U/8GB/500GB,Notebook,17.3,Full HD 1920x1080,8GB,Windows 10,Intel,Core i5 7200U,2.5GHz,256,500,0,0,Nvidia,GeForce GTX 950M,,891
HP,ZBook 15u,Notebook,15.6,Full HD 1920x1080,8GB,Windows 10,Intel,Core i7 7500U,2.7GHz,0,1,0,0,AMD,FirePro W4190M ,,1269
Asus,Pro P2540UA-XO0198T,Notebook,15.6,1366x768,4GB,Windows 10,Intel,Core i3 7100U,2.4GHz,0,1,0,0,Intel,HD Graphics 620,,398.99
HP,15-rb013nv (E2-9000e/4GB/500GB/W10),Notebook,15.6,1366x768,4GB,Windows 10,AMD,E-Series 9000e,1.5GHz,0,500,0,0,AMD,Radeon R2,,330
Lenovo,Legion Y720-15IKB,Gaming,15.6,IPS Panel Full HD 1920x1080,16GB,Windows 10,Intel,Core i7 7700HQ,2.8GHz,256,1,0,0,Nvidia,GeForce GTX 1060,,1499
Dell,Vostro 5468,Notebook,14,Full HD 1920x1080,8GB,Windows 10,Intel,Core i5 7200U,2.5GHz,256,0,0,0,Intel,HD Graphics 620,,859
Acer,Aspire R7,2 in 1 Convertible,13.3,IPS Panel Full HD / Touchscreen 1920x1080,8GB,Windows 10,Intel,Core i5 6200U,2.3GHz,256,0,0,0,Intel,HD Graphics 520,,689
Dell,Inspiron 5567,Notebook,15.6,Full HD 1920x1080,16GB,Linux,Intel,Core i7 7500U,2.7GHz,256,0,0,0,AMD,Radeon R7 M445,,899
Acer,Aspire A315-51,Notebook,15.6,1366x768,4GB,Linux,Intel,Core i3 6006U,2GHz,0,1,0,0,Intel,HD Graphics 520,,390
Asus,X555QG-DM242T (A10-9620P/4GB/1TB,Notebook,15.6,Full HD 1920x1080,4GB,Windows 10,AMD,A10-Series A10-9620P,2.5GHz,128,1,0,0,AMD,Radeon R5 M430,,575
Asus,ROG G703VI-E5062T,Gaming,17.3,Full HD 1920x1080,32GB,Windows 10,Intel,Core i7 7820HK,2.9GHz,512,1,0,0,Nvidia,GeForce GTX 1080,,3890
Acer,Nitro AN515-51,Gaming,15.6,IPS Panel Full HD 1920x1080,8GB,Windows 10,Intel,Core i5 7300HQ,2.5GHz,256,0,0,0,Nvidia,GeForce GTX 1050,,846
Lenovo,IdeaPad 320-15ISK,Notebook,15.6,1366x768,8GB,Windows 10,Intel,Core i3 6006U,2GHz,128,0,0,0,Intel,HD Graphics 520,,589
Asus,VivoBook Pro,Notebook,17.3,Full HD 1920x1080,8GB,Windows 10,Intel,Core i7 8550U,1.8GHz,128,1,0,0,Nvidia,GeForce 150MX,,1145
Asus,F756UX-T4201D (i7-7500U/8GB/128GB,Notebook,17.3,Full HD 1920x1080,8GB,No OS,Intel,Core i7 7500U,2.7GHz,128,1,0,0,Nvidia,GeForce GTX 950M,,889
Dell,Inspiron 5577,Gaming,15.6,Full HD 1920x1080,8GB,Windows 10,Intel,Core i5 7300HQ,2.5GHz,256,0,0,0,Nvidia,GeForce GTX 1050,,879
Lenovo,Yoga 910-13IKB,2 in 1 Convertible,13.9,IPS Panel Full HD / Touchscreen 1920x1080,8GB,Windows 10,Intel,Core i7 7500U,2.7GHz,256,0,0,0,Intel,HD Graphics 620,,1079
Dell,Inspiron 5570,Notebook,15.6,Full HD 1920x1080,8GB,Windows 10,Intel,Core i7 8550U,1.8GHz,128,2,0,0,AMD,Radeon 530,,985
HP,15-bs015dx (i5-7200U/8GB/1TB/W10),Notebook,15.6,Touchscreen 1366x768,8GB,Windows 10,Intel,Core i5 7200U,2.5GHz,0,1,0,0,Intel,HD Graphics 620,,559
Asus,Rog G701VIK-BA060T,Gaming,17.3,Full HD 1920x1080,16GB,Windows 10,Intel,Core i7 7820HK,2.9GHz,256,0,0,0,Nvidia,GeForce GTX 1080,,2999
HP,ProBook 430,Notebook,13.3,IPS Panel Full HD 1920x1080,4GB,Windows 10,Intel,Core i5 8250U,1.6GHz,0,500,0,0,Intel,UHD Graphics 620,,675
Dell,Inspiron 5579,2 in 1 Convertible,15.6,IPS Panel Full HD / Touchscreen 1920x1080,8GB,Windows 10,Intel,Core i7 8550U,1.8GHz,0,1,0,0,Intel,UHD Graphics 620,,819
Asus,ROG G752VSK-GC493T,Gaming,17.3,Full HD 1920x1080,16GB,Windows 10,Intel,Core i7 7700HQ,2.8GHz,256,1,0,0,Nvidia,GeForce GTX 980M,,1799
Asus,X505BP-BR019T (A9-9420/4GB/1TB/Radeon,Notebook,15.6,1366x768,4GB,Windows 10,AMD,A9-Series 9420,3GHz,0,1,0,0,AMD,Radeon R5 M420,,469
Lenovo,Yoga 920-13IKB,2 in 1 Convertible,13.9,IPS Panel Full HD / Touchscreen 1920x1080,8GB,Windows 10,Intel,Core i7 8550U,1.8GHz,512,0,0,0,Intel,UHD Graphics 620,,1849
Acer,Aspire 5,Notebook,17.3,IPS Panel Full HD 1920x1080,4GB,Windows 10,Intel,Core i3 7130U,2.7GHz,256,0,0,0,Nvidia,GeForce MX130,,702
Dell,Vostro 5370,Ultrabook,13.3,Full HD 1920x1080,8GB,Windows 10,Intel,Core i5 8250U,1.6GHz,256,0,0,0,Intel,UHD Graphics 620,,949
HP,15-BW094nd (A6-9220/8GB/128GB/W10),Notebook,15.6,1366x768,8GB,Windows 10,AMD,A6-Series A6-9220,2.5GHz,128,0,0,0,AMD,Radeon R4 Graphics,,445.9
HP,Envy 17-U275cl,Notebook,17.3,IPS Panel Full HD 1920x1080,16GB,Windows 10,Intel,Core i7 8550U,1.8GHz,0,1,0,0,Nvidia,GeForce MX150,,1059
MSI,GT73EVR 7RE,Gaming,17.3,Full HD 1920x1080,16GB,Windows 10,Intel,Core i7 7700HQ,2.8GHz,512,1,0,0,Nvidia,GeForce GTX 1070,,2499
Lenovo,Yoga 720-15IKB,2 in 1 Convertible,15.6,IPS Panel Full HD / Touchscreen 1920x1080,8GB,Windows 10,Intel,Core i7 7700HQ,2.8GHz,512,0,0,0,Nvidia,GeForce GTX 1050M,,1699
Dell,Inspiron 5770,Notebook,17.3,Full HD 1920x1080,8GB,Windows 10,Intel,Core i7 8550U,1.8GHz,128,1,0,0,AMD,Radeon 530,,1142
Lenovo,IdeaPad 320-15ISK,Notebook,15.6,Full HD 1920x1080,4GB,No OS,Intel,Core i3 6006U,2GHz,256,0,0,0,Intel,HD Graphics 520,,444
HP,ProBook 450,Notebook,15.6,IPS Panel Full HD 1920x1080,4GB,Windows 10,Intel,Core i5 8250U,1.6GHz,0,500,0,0,Intel,HD Graphics 620,,722
Dell,Vostro 3568,Notebook,15.6,Full HD 1920x1080,4GB,Windows 10,Intel,Core i5 7200U,2.5GHz,0,1,0,0,Intel,HD Graphics 620,,657
Dell,Inspiron 3567,Notebook,15.6,Full HD 1920x1080,8GB,Windows 10,Intel,Core i5 7200U,2.5GHz,0,1,0,0,AMD,Radeon R5 M430,,565
Dell,Inspiron 5579,2 in 1 Convertible,15.6,Full HD / Touchscreen 1920x1080,8GB,Windows 10,Intel,Core i5 8250U,1.6GHz,256,0,0,0,Intel,UHD Graphics 620,,799
Asus,ZenBook Flip,2 in 1 Convertible,13.3,Full HD / Touchscreen 1920x1080,8GB,Windows 10,Intel,Core i7 8550U,1.8GHz,512,0,0,0,Intel,UHD Graphics 620,,1499
Lenovo,IdeaPad 320-15IKBN,Notebook,15.6,Full HD 1920x1080,4GB,No OS,Intel,Core i5 7200U,2.5GHz,0,1,0,0,Intel,HD Graphics 620,,467
HP,Probook 470,Notebook,17.3,Full HD 1920x1080,8GB,Windows 10,Intel,Core i7 8550U,1.8GHz,0,1,0,0,Nvidia,GeForce 930MX ,,1018
Lenovo,V330-15IKB (i7-8550U/8GB/256GB/FHD/W10),Notebook,15.6,Full HD 1920x1080,8GB,Windows 10,Intel,Core i7 8550U,1.8GHz,256,0,0,0,Intel,UHD Graphics 620,,880
Asus,Rog Strix,Gaming,17.3,Full HD 1920x1080,16GB,Windows 10,AMD,Ryzen 1700,3GHz,256,1,0,0,AMD,Radeon RX 580,,1549
Dell,Inspiron 3576,Notebook,15.6,Full HD 1920x1080,8GB,Linux,Intel,Core i7 8550U,1.8GHz,256,0,0,0,AMD,Radeon 520,,735.07
Lenovo,ThinkPad X1,2 in 1 Convertible,14,Touchscreen 2560x1440,16GB,Windows 10,Intel,Core i7 6600U,2.6GHz,512,0,0,0,Intel,HD Graphics 520,,2499
Toshiba,Satellite Pro,Notebook,15.6,1366x768,8GB,Windows 10,Intel,Core i7 6500U,2.5GHz,0,500,0,0,Nvidia,GeForce 930M,,812
Dell,Inspiron 5567,Notebook,15.6,1366x768,12GB,Windows 10,Intel,Core i7 7500U,2.7GHz,0,1,0,0,Intel,HD Graphics 620,,713.07
Dell,Inspiron 5770,Notebook,17.3,Full HD 1920x1080,8GB,Linux,Intel,Core i7 8550U,1.8GHz,128,1,0,0,AMD,Radeon 530,,1099
Acer,Aspire A515-51G,Notebook,15.6,IPS Panel Full HD 1920x1080,8GB,Windows 10,Intel,Core i7 8550U,1.8GHz,0,1,0,0,Nvidia,GeForce MX130,,745
Lenovo,IdeaPad 320-17ISK,Notebook,17.3,1600x900,4GB,Windows 10,Intel,Core i3 6006U,2GHz,0,1,0,0,Intel,HD Graphics 520,,489
Lenovo,IdeaPad 320-17IKBR,Notebook,17.3,Full HD 1920x1080,8GB,No OS,Intel,Core i7 8550U,1.8GHz,0,2,0,0,Nvidia,GeForce MX150,,849
Lenovo,IdeaPad 320-17IKB,Notebook,17.3,1600x900,6GB,Windows 10,Intel,Core i7 7500U,2.7GHz,128,1,0,0,Nvidia,GeForce 940MX,,859
Dell,Inspiron 3567,Notebook,15.6,Full HD 1920x1080,4GB,Linux,Intel,Core i3 6006U,2.0GHz,0,1,0,0,AMD,Radeon R5 M430,,428
Lenovo,Legion Y520-15IKBN,Gaming,15.6,IPS Panel Full HD 1920x1080,8GB,Windows 10,Intel,Core i5 7300HQ,2.5GHz,256,0,0,0,Nvidia,GeForce GTX 1050,,829
Lenovo,Ideapad 320-15IKBN,Notebook,15.6,Full HD 1920x1080,6GB,Windows 10,Intel,Core i5 7200U,2.5GHz,256,0,0,0,Intel,HD Graphics 620,,579
Acer,Aspire A517-51G,Notebook,15.6,IPS Panel Full HD 1920x1080,8GB,Windows 10,Intel,Core i7 8550U,1.8GHz,256,0,0,0,Nvidia,GeForce MX150,,951
Acer,SP315-51 (i7-7500U/12GB/1TB/FHD/W10),Notebook,15.6,IPS Panel Full HD / Touchscreen 1920x1080,12GB,Windows 10,Intel,Core i7 7500U,2.7GHz,0,1,0,0,Intel,HD Graphics 620,,659
Lenovo,Thinkpad T570,Notebook,15.6,IPS Panel Full HD 1920x1080,8GB,Windows 10,Intel,Core i7 7500U,2.7GHz,256,0,0,0,Intel,HD Graphics 630,,1097
Asus,VivoBook S15,Ultrabook,15.6,Full HD 1920x1080,8GB,Windows 10,Intel,Core i5 7200U,2.5GHz,256,0,0,0,Nvidia,GeForce 940MX,,977
Lenovo,Legion Y520-15IKBN,Gaming,15.6,IPS Panel Full HD 1920x1080,16GB,Windows 10,Intel,Core i7 7700HQ,2.8GHz,256,1,0,0,Nvidia,GTX 1050 Ti,,1179
Lenovo,IdeaPad 320-15IKB,Notebook,15.6,Full HD 1920x1080,8GB,No OS,Intel,Core i7 7500U,2.7GHz,0,1,0,0,Nvidia,GeForce 940MX,,659.01
Asus,FX753VD-GC071T (i7-7700HQ/8GB/1TB/GeForce,Gaming,17.3,Full HD 1920x1080,8GB,Windows 10,Intel,Core i7 7700HQ,2.8GHz,0,1,0,0,Nvidia,GeForce GTX 1050,,1187
HP,17-BS037cl (i3-6006U/8GB/1TB/W10),Notebook,17.3,1600x900,8GB,Windows 10,Intel,Core i3 6006U,2GHz,0,1,0,0,Intel,HD Graphics 520,,489
Dell,XPS 15,Notebook,15.6,Full HD 1920x1080,8GB,Windows 10,Intel,Core i7 7700HQ,2.8GHz,256,0,0,0,Nvidia,GeForce GTX 1050,,1829
Lenovo,V330-15IKB (i5-8250U/8GB/256GB/FHD/W10),Notebook,15.6,Full HD 1920x1080,8GB,Windows 10,Intel,Core i5 8250U,1.6GHz,256,0,0,0,Intel,UHD Graphics 620,,739
Lenovo,Legion Y720-15IKB,Gaming,15.6,IPS Panel Full HD 1920x1080,8GB,Windows 10,Intel,Core i7 7700HQ,2.8GHz,0,1,0,0,Nvidia,GeForce GTX 1060,,1299
Acer,Aspire A715-71G,Notebook,15.6,Full HD 1920x1080,8GB,Linux,Intel,Core i7 7700HQ,2.8GHz,256,0,0,0,Nvidia,GTX 1050 Ti,,979
Dell,Precision 7720,Workstation,17.3,Full HD 1920x1080,16GB,Windows 10,Intel,Core i7 7820HQ,2.9GHz,256,0,0,0,Nvidia,Quadro M1200,,2884.86
Lenovo,IdeaPad 310-15ABR,Notebook,15.6,Full HD 1920x1080,6GB,Windows 10,AMD,A10-Series 9600P,2.4GHz,0,1,0,0,AMD,Radeon R5 430,,499
Asus,ZenBook UX530UQ-PRO,Ultrabook,15.6,Full HD 1920x1080,16GB,Windows 10,Intel,Core i7 7500U,2.7GHz,512,0,0,0,Nvidia,GeForce 940MX,,1468
Asus,VivoBook S14,Notebook,14,1366x768,4GB,Windows 10,Intel,Core i3 7100U,2.4GHz,128,0,0,0,Intel,HD Graphics 620,,509
Asus,Rog GL702VS-GC095T,Gaming,17.3,Full HD 1920x1080,16GB,Windows 10,Intel,Core i7 7700HQ,2.8GHz,256,1,0,0,Nvidia,GeForce GTX 1070,,2122
Lenovo,IdeaPad 320-17IKB,Notebook,17.3,1600x900,6GB,Windows 10,Intel,Core i5 7200U,2.5GHz,0,1,0,0,Nvidia,GeForce GTX 940M,,649
Lenovo,IdeaPad 320-15IKBN,Notebook,15.6,1366x768,8GB,No OS,Intel,Core i5 7200U,2.5GHz,0,2,0,0,Nvidia,GeForce 940MX,,549
Asus,GL553VE-FY082T (i7-7700HQ/8GB/1TB,Gaming,15.6,Full HD 1920x1080,8GB,Windows 10,Intel,Core i7 7700HQ,2.8GHz,128,1,0,0,Nvidia,GTX 1050 Ti,,1265
HP,EliteBook x360,2 in 1 Convertible,13.3,Full HD / Touchscreen 1920x1080,16GB,Windows 10,Intel,Core i7 7600U,2.8GHz,256,0,0,0,Intel,HD Graphics 620,,1975
Toshiba,Satellite Pro,Notebook,15.6,IPS Panel Full HD 1920x1080,8GB,Windows 10,Intel,Core i7 6500U,2.5GHz,256,0,0,0,Nvidia,GeForce 930M,,1043
Lenovo,IdeaPad 320-15IKB,Notebook,15.6,Full HD 1920x1080,8GB,Windows 10,Intel,Core i5 7200U,2.5GHz,128,1,0,0,Nvidia,GeForce 940MX,,819
HP,250 G6,Notebook,15.6,Full HD 1920x1080,4GB,Windows 10,Intel,Core i3 6006U,2GHz,0,1,0,0,Intel,HD Graphics 520,,469
Lenovo,IdeaPad 720S-13IKB,Notebook,13.3,IPS Panel Full HD 1920x1080,8GB,Windows 10,Intel,Core i5 7200U,2.5GHz,256,0,0,0,Intel,HD Graphics 620,,999
Dell,XPS 13,Ultrabook,13.3,IPS Panel 4K Ultra HD / Touchscreen 3840x2160,16GB,Windows 10,Intel,Core i7 8550U,1.8GHz,1,0,0,0,Intel,UHD Graphics 620,,2499
MSI,GE63VR 7RF,Gaming,15.6,IPS Panel Full HD 1920x1080,16GB,Windows 10,Intel,Core i7 7700HQ,2.8GHz,256,1,0,0,Nvidia,GeForce GTX 1070,,2099
Acer,ES1-523-84K7 (A8-7410/8GB/256GB/FHD/W10),Notebook,15.6,Full HD 1920x1080,8GB,Windows 10,AMD,A8-Series 7410,2.2GHz,256,0,0,0,AMD,Radeon R5,,469
Dell,Inspiron 5570,Notebook,15.6,Full HD 1920x1080,8GB,Windows 10,Intel,Core i5 8250U,1.6GHz,128,1,0,0,AMD,Radeon 530,,844
HP,Spectre x360,2 in 1 Convertible,13.3,IPS Panel 4K Ultra HD / Touchscreen 3840x2160,16GB,Windows 10,Intel,Core i7 8550U,1.8GHz,1,0,0,0,Intel,UHD Graphics 620,,2449
HP,ProBook 640,Notebook,14,Full HD 1920x1080,8GB,Windows 10,Intel,Core i5 7200U,2.5GHz,256,0,0,0,Intel,HD Graphics 620,,980
HP,Elitebook 840,Notebook,14,Full HD 1920x1080,8GB,Windows 10,Intel,Core i7 7500U,2.7GHz,256,0,0,0,Intel,HD Graphics 620,,1292
Lenovo,IdeaPad 320-17IKB,Notebook,17.3,1600x900,4GB,Windows 10,Intel,Core i5 7200U,2.5GHz,0,1,0,0,Nvidia,GeForce 920MX,,589
Asus,ZenBook UX410UA-GV183T,Notebook,14,Full HD 1920x1080,8GB,Windows 10,Intel,Core i7 7500U,2.7GHz,256,0,0,0,Intel,HD Graphics 620,,1094
HP,ProBook 450,Notebook,15.6,IPS Panel Full HD 1366x768,8GB,Windows 10,Intel,Core i7 8550U,1.8GHz,0,1,0,0,Intel,UHD Graphics 620,,902
Acer,Aspire 5,Notebook,15.6,1366x768,8GB,Windows 10,AMD,A12-Series 9720P,2.7GHz,256,0,0,0,AMD,Radeon RX 540,,659
Acer,Aspire E5-575,Notebook,15.6,1366x768,6GB,Windows 10,Intel,Core i5 7200U,2.5GHz,0,1,0,0,Intel,HD Graphics 620,,549
Asus,VivoBook S15,Ultrabook,15.6,Full HD 1920x1080,8GB,Windows 10,Intel,Core i7 7500U,2.7GHz,256,0,0,0,Nvidia,GeForce 940MX,,1049.9
HP,Elitebook 820,Ultrabook,12.5,Full HD 1920x1080,8GB,Windows 10,Intel,Core i7 7500U,2.7GHz,256,0,0,0,Intel,HD Graphics 620,,1335
Dell,XPS 15,Notebook,15.6,4K Ultra HD / Touchscreen 3840x2160,32GB,Windows 10,Intel,Core i7 7700HQ,2.8GHz,1,0,0,0,Nvidia,GeForce GTX 1050,,2639
MSI,GL72M 7REX,Gaming,17.3,Full HD 1920x1080,8GB,Windows 10,Intel,Core i7 7700HQ,2.8GHz,256,1,0,0,Nvidia,GTX 1050 Ti,,1199
